Genotype,Bacteria_Firmicutes_Negativicutes_Acidaminococcales_Acidaminococcaceae_Phascolarctobacterium,Bacteria_Firmicutes_Negativicutes_Veillonellales.Selenomonadales_Veillonellaceae_Dialister,Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_Holdemanella,Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium,Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_UCG.002,Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Faecalibacterium,Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Subdoligranulum,Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas,Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter
PI-620842,53.33333333,123,25,0,22.33333333,0.666666667,8,23.33333333,63
PI-620846,41,186.3333333,32.66666667,0,27,0.333333333,10.33333333,26.33333333,52
PI-620856,47.66666667,73.33333333,36.66666667,0,30.33333333,1.333333333,10,20,44
PI-620859,70.66666667,51.66666667,50,0,30.33333333,2,14.66666667,32.66666667,88.66666667
PI-620860,41.33333333,46,36.33333333,0.333333333,19.66666667,0.666666667,7.333333333,13,49
PI-628503,41.33333333,37.33333333,34,0,30,0.666666667,11.33333333,20.66666667,61.66666667
PI-628514,36.66666667,55,38.66666667,0.333333333,35,0,7.333333333,22.66666667,45.66666667
PI-686064,41.66666667,44,46.33333333,0,33.66666667,0.666666667,15,15.66666667,51.33333333
PI5666677,109.6666667,239.3333333,42.66666667,0,47.33333333,0.666666667,7.333333333,36.33333333,160.3333333
Teo-8759,138.6666667,216.3333333,75.33333333,2,93.66666667,1,17,55.66666667,204.3333333
282set_Va22,49,52.5,54.5,1.5,34,1.5,7.5,45,95
282set_Va59,67,65.33333333,72.66666667,1,45.66666667,1,12.66666667,12,125.6666667
282set_W182B,96.66666667,400,145,1.666666667,102,1.666666667,19,19.66666667,156
