Number,sample,fq1,fq2,Subject,Abbrv,reps,,Lines,Genotype/Accesion IDs,Source,Category
37,S9-L37-1,S9-L37-1_L001_R1_001.fastq.gz,S9-L37-1_L001_R2_001.fastq.gz,S9,L37,1,37,LR4,PI 620774,Xu et al. 2020,Landrace
38,S9-L37-2,S9-L37-2_L001_R1_001.fastq.gz,S9-L37-2_L001_R2_001.fastq.gz,S9,L37,2,37,LR4,PI 620774,Xu et al. 2020,Landrace
39,S9-L37-3,S9-L37-3_L001_R1_001.fastq.gz,S9-L37-3_L001_R2_001.fastq.gz,S9,L37,3,37,LR4,PI 620774,Xu et al. 2020,Landrace
40,S9-L38-1,S9-L38-1_L001_R1_001.fastq.gz,S9-L38-1_L001_R2_001.fastq.gz,S9,L38,1,38,LR5,PI 620785,Xu et al. 2020,Landrace
41,S9-L38-2,S9-L38-2_L001_R1_001.fastq.gz,S9-L38-2_L001_R2_001.fastq.gz,S9,L38,2,38,LR5,PI 620785,Xu et al. 2020,Landrace
42,S9-L38-3,S9-L38-3_L001_R1_001.fastq.gz,S9-L38-3_L001_R2_001.fastq.gz,S9,L38,3,38,LR5,PI 620785,Xu et al. 2020,Landrace
43,S9-L39-1,S9-L39-1_L001_R1_001.fastq.gz,S9-L39-1_L001_R2_001.fastq.gz,S9,L39,1,39,LR6,PI 620797,Xu et al. 2020,Landrace
44,S9-L39-2,S9-L39-2_L001_R1_001.fastq.gz,S9-L39-2_L001_R2_001.fastq.gz,S9,L39,2,39,LR6,PI 620797,Xu et al. 2020,Landrace
45,S9-L39-3,S9-L39-3_L001_R1_001.fastq.gz,S9-L39-3_L001_R2_001.fastq.gz,S9,L39,3,39,LR6,PI 620797,Xu et al. 2020,Landrace
46,S9-L40-1,S9-L40-1_L001_R1_001.fastq.gz,S9-L40-1_L001_R2_001.fastq.gz,S9,L40,1,40,LR7,PI 620819,Xu et al. 2020,Landrace
47,S9-L40-2,S9-L40-2_L001_R1_001.fastq.gz,S9-L40-2_L001_R2_001.fastq.gz,S9,L40,2,40,LR7,PI 620819,Xu et al. 2020,Landrace
48,S9-L40-3,S9-L40-3_L001_R1_001.fastq.gz,S9-L40-3_L001_R2_001.fastq.gz,S9,L40,3,40,LR7,PI 620819,Xu et al. 2020,Landrace
49,S9-L41-1,S9-L41-1_L001_R1_001.fastq.gz,S9-L41-1_L001_R2_001.fastq.gz,S9,L41,1,41,LR8,PI 620821,Xu et al. 2020,Landrace
50,S9-L41-2,S9-L41-2_L001_R1_001.fastq.gz,S9-L41-2_L001_R2_001.fastq.gz,S9,L41,2,41,LR8,PI 620821,Xu et al. 2020,Landrace
51,S9-L41-3,S9-L41-3_L001_R1_001.fastq.gz,S9-L41-3_L001_R2_001.fastq.gz,S9,L41,3,41,LR8,PI 620821,Xu et al. 2020,Landrace
52,S9-L42-1,S9-L42-1_L001_R1_001.fastq.gz,S9-L42-1_L001_R2_001.fastq.gz,S9,L42,1,42,LR9,PI 620834,Xu et al. 2020,Landrace
53,S9-L42-2,S9-L42-2_L001_R1_001.fastq.gz,S9-L42-2_L001_R2_001.fastq.gz,S9,L42,2,42,LR9,PI 620834,Xu et al. 2020,Landrace
54,S9-L42-3,S9-L42-3_L001_R1_001.fastq.gz,S9-L42-3_L001_R2_001.fastq.gz,S9,L42,3,42,LR9,PI 620834,Xu et al. 2020,Landrace
55,S9-L43-1,S9-L43-1_L001_R1_001.fastq.gz,S9-L43-1_L001_R2_001.fastq.gz,S9,L43,1,43,LR10,PI 620842,Xu et al. 2020,Landrace
56,S9-L43-2,S9-L43-2_L001_R1_001.fastq.gz,S9-L43-2_L001_R2_001.fastq.gz,S9,L43,2,43,LR10,PI 620842,Xu et al. 2020,Landrace
57,S9-L43-3,S9-L43-3_L001_R1_001.fastq.gz,S9-L43-3_L001_R2_001.fastq.gz,S9,L43,3,43,LR10,PI 620842,Xu et al. 2020,Landrace
