Number,sample,fq1,fq2,Subject,Abbrv,reps,,Lines,Genotype/Accesion IDs,Source,Category
155,S9-T54-2,S9-T54-2_L001_R1_001.fastq.gz,S9-T54-2_L001_R2_001.fastq.gz,S9,T54,2,54,,Ames 21787,,Teosinte
156,S9-T54-3,S9-T54-3_L001_R1_001.fastq.gz,S9-T54-3_L001_R2_001.fastq.gz,S9,T54,3,54,,Ames 21787,,Teosinte
157,S9-T55-1,S9-T55-1_L001_R1_001.fastq.gz,S9-T55-1_L001_R2_001.fastq.gz,S9,T55,1,55,,PI 566688,,Teosinte
158,S9-T55-2,S9-T55-2_L001_R1_001.fastq.gz,S9-T55-2_L001_R2_001.fastq.gz,S9,T55,2,55,,PI 566688,,Teosinte
159,S9-T55-3,S9-T55-3_L001_R1_001.fastq.gz,S9-T55-3_L001_R2_001.fastq.gz,S9,T55,3,55,,PI 566688,,Teosinte
160,S9-T56-1,S9-T56-1_L001_R1_001.fastq.gz,S9-T56-1_L001_R2_001.fastq.gz,S9,T56,1,56,,Ames 21789,,Teosinte
161,S9-T56-2,S9-T56-2_L001_R1_001.fastq.gz,S9-T56-2_L001_R2_001.fastq.gz,S9,T56,2,56,,Ames 21789,,Teosinte
162,S9-T56-3,S9-T56-3_L001_R1_001.fastq.gz,S9-T56-3_L001_R2_001.fastq.gz,S9,T56,3,56,,Ames 21789,,Teosinte
163,S9-T57-1,S9-T57-1_L001_R1_001.fastq.gz,S9-T57-1_L001_R2_001.fastq.gz,S9,T57,1,57,,Ames 21790,,Teosinte
164,S9-T57-2,S9-T57-2_L001_R1_001.fastq.gz,S9-T57-2_L001_R2_001.fastq.gz,S9,T57,2,57,,Ames 21790,,Teosinte
165,S9-T57-3,S9-T57-3_L001_R1_001.fastq.gz,S9-T57-3_L001_R2_001.fastq.gz,S9,T57,3,57,,Ames 21790,,Teosinte
166,S9-T58-1,S9-T58-1_L001_R1_001.fastq.gz,S9-T58-1_L001_R2_001.fastq.gz,S9,T58,1,58,,Ames 21793,,Teosinte
167,S9-T58-2,S9-T58-2_L001_R1_001.fastq.gz,S9-T58-2_L001_R2_001.fastq.gz,S9,T58,2,58,,Ames 21793,,Teosinte
168,S9-T58-3,S9-T58-3_L001_R1_001.fastq.gz,S9-T58-3_L001_R2_001.fastq.gz,S9,T58,3,58,,Ames 21793,,Teosinte
169,S9-T59-1,S9-T59-1_L001_R1_001.fastq.gz,S9-T59-1_L001_R2_001.fastq.gz,S9,T59,1,59,,Ames 21796,,Teosinte
170,S9-T59-2,S9-T59-2_L001_R1_001.fastq.gz,S9-T59-2_L001_R2_001.fastq.gz,S9,T59,2,59,,Ames 21796,,Teosinte
171,S9-T59-3,S9-T59-3_L001_R1_001.fastq.gz,S9-T59-3_L001_R2_001.fastq.gz,S9,T59,3,59,,Ames 21796,,Teosinte
172,S9-T60-1,S9-T60-1_L001_R1_001.fastq.gz,S9-T60-1_L001_R2_001.fastq.gz,S9,T60,1,60,,Ames 21797,,Teosinte
173,S9-T60-2,S9-T60-2_L001_R1_001.fastq.gz,S9-T60-2_L001_R2_001.fastq.gz,S9,T60,2,60,,Ames 21797,,Teosinte
174,S9-T60-3,S9-T60-3_L001_R1_001.fastq.gz,S9-T60-3_L001_R2_001.fastq.gz,S9,T60,3,60,,Ames 21797,,Teosinte
175,S9-T61-1,S9-T61-1_L001_R1_001.fastq.gz,S9-T61-1_L001_R2_001.fastq.gz,S9,T61,1,61,,Ames 21798,,Teosinte
176,S9-T61-2,S9-T61-2_L001_R1_001.fastq.gz,S9-T61-2_L001_R2_001.fastq.gz,S9,T61,2,61,,Ames 21798,,Teosinte
177,S9-T61-3,S9-T61-3_L001_R1_001.fastq.gz,S9-T61-3_L001_R2_001.fastq.gz,S9,T61,3,61,,Ames 21798,,Teosinte
178,S9-T62-1,S9-T62-1_L001_R1_001.fastq.gz,S9-T62-1_L001_R2_001.fastq.gz,S9,T62,1,62,,Ames 21799,,Teosinte
179,S9-T62-2,S9-T62-2_L001_R1_001.fastq.gz,S9-T62-2_L001_R2_001.fastq.gz,S9,T62,2,62,,Ames 21799,,Teosinte
180,S9-T62-3,S9-T62-3_L001_R1_001.fastq.gz,S9-T62-3_L001_R2_001.fastq.gz,S9,T62,3,62,,Ames 21799,,Teosinte
181,S9-T63-1,S9-T63-1_L001_R1_001.fastq.gz,S9-T63-1_L001_R2_001.fastq.gz,S9,T63,1,63,,Ames 21800,,Teosinte
182,S9-T63-2,S9-T63-2_L001_R1_001.fastq.gz,S9-T63-2_L001_R2_001.fastq.gz,S9,T63,2,63,,Ames 21800,,Teosinte
183,S9-T63-3,S9-T63-3_L001_R1_001.fastq.gz,S9-T63-3_L001_R2_001.fastq.gz,S9,T63,3,63,,Ames 21800,,Teosinte
184,S9-T64-1,S9-T64-1_L001_R1_001.fastq.gz,S9-T64-1_L001_R2_001.fastq.gz,S9,T64,1,64,,Ames 21801,,Teosinte
185,S9-T64-2,S9-T64-2_L001_R1_001.fastq.gz,S9-T64-2_L001_R2_001.fastq.gz,S9,T64,2,64,,Ames 21801,,Teosinte
186,S9-T64-3,S9-T64-3_L001_R1_001.fastq.gz,S9-T64-3_L001_R2_001.fastq.gz,S9,T64,3,64,,Ames 21801,,Teosinte
187,S9-T65-1,S9-T65-1_L001_R1_001.fastq.gz,S9-T65-1_L001_R2_001.fastq.gz,S9,T65,1,65,,Ames 21802,,Teosinte
188,S9-T65-2,S9-T65-2_L001_R1_001.fastq.gz,S9-T65-2_L001_R2_001.fastq.gz,S9,T65,2,65,,Ames 21802,,Teosinte
189,S9-T65-3,S9-T65-3_L001_R1_001.fastq.gz,S9-T65-3_L001_R2_001.fastq.gz,S9,T65,3,65,,Ames 21802,,Teosinte
190,S9-T66-1,S9-T66-1_L001_R1_001.fastq.gz,S9-T66-1_L001_R2_001.fastq.gz,S9,T66,1,66,,Ames 21803,,Teosinte
191,S9-T66-2,S9-T66-2_L001_R1_001.fastq.gz,S9-T66-2_L001_R2_001.fastq.gz,S9,T66,2,66,,Ames 21803,,Teosinte
192,S9-T66-3,S9-T66-3_L001_R1_001.fastq.gz,S9-T66-3_L001_R2_001.fastq.gz,S9,T66,3,66,,Ames 21803,,Teosinte
193,S9-T67-1,S9-T67-1_L001_R1_001.fastq.gz,S9-T67-1_L001_R2_001.fastq.gz,S9,T67,1,67,,Ames 21809,,Teosinte
194,S9-T67-2,S9-T67-2_L001_R1_001.fastq.gz,S9-T67-2_L001_R2_001.fastq.gz,S9,T67,2,67,,Ames 21809,,Teosinte
195,S9-T67-3,S9-T67-3_L001_R1_001.fastq.gz,S9-T67-3_L001_R2_001.fastq.gz,S9,T67,3,67,,Ames 21809,,Teosinte
196,S9-T68-1,S9-T68-1_L001_R1_001.fastq.gz,S9-T68-1_L001_R2_001.fastq.gz,S9,T68,1,68,,Ames 21826,,Teosinte
197,S9-T68-2,S9-T68-2_L001_R1_001.fastq.gz,S9-T68-2_L001_R2_001.fastq.gz,S9,T68,2,68,,Ames 21826,,Teosinte
198,S9-T68-3,S9-T68-3_L001_R1_001.fastq.gz,S9-T68-3_L001_R2_001.fastq.gz,S9,T68,3,68,,Ames 21826,,Teosinte
199,S9-T69-1,S9-T69-1_L001_R1_001.fastq.gz,S9-T69-1_L001_R2_001.fastq.gz,S9,T69,1,69,,Ames 21828,,Teosinte
200,S9-T69-2,S9-T69-2_L001_R1_001.fastq.gz,S9-T69-2_L001_R2_001.fastq.gz,S9,T69,2,69,,Ames 21828,,Teosinte
201,S9-T69-3,S9-T69-3_L001_R1_001.fastq.gz,S9-T69-3_L001_R2_001.fastq.gz,S9,T69,3,69,,Ames 21828,,Teosinte
202,S9-T70-1,S9-T70-1_L001_R1_001.fastq.gz,S9-T70-1_L001_R2_001.fastq.gz,S9,T70,1,70,,Ames 21829,,Teosinte
203,S9-T70-2,S9-T70-2_L001_R1_001.fastq.gz,S9-T70-2_L001_R2_001.fastq.gz,S9,T70,2,70,,Ames 21829,,Teosinte
204,S9-T70-3,S9-T70-3_L001_R1_001.fastq.gz,S9-T70-3_L001_R2_001.fastq.gz,S9,T70,3,70,,Ames 21829,,Teosinte
205,S9-T71-1,S9-T71-1_L001_R1_001.fastq.gz,S9-T71-1_L001_R2_001.fastq.gz,S9,T71,1,71,,Ames 21830,,Teosinte
206,S9-T71-2,S9-T71-2_L001_R1_001.fastq.gz,S9-T71-2_L001_R2_001.fastq.gz,S9,T71,2,71,,Ames 21830,,Teosinte
207,S9-T71-3,S9-T71-3_L001_R1_001.fastq.gz,S9-T71-3_L001_R2_001.fastq.gz,S9,T71,3,71,,Ames 21830,,Teosinte
208,S9-T72-1,S9-T72-1_L001_R1_001.fastq.gz,S9-T72-1_L001_R2_001.fastq.gz,S9,T72,1,72,,Ames 21851,,Teosinte
209,S9-T72-2,S9-T72-2_L001_R1_001.fastq.gz,S9-T72-2_L001_R2_001.fastq.gz,S9,T72,2,72,,Ames 21851,,Teosinte
210,S9-T72-3,S9-T72-3_L001_R1_001.fastq.gz,S9-T72-3_L001_R2_001.fastq.gz,S9,T72,3,72,,Ames 21851,,Teosinte
211,S9-T73-1,S9-T73-1_L001_R1_001.fastq.gz,S9-T73-1_L001_R2_001.fastq.gz,S9,T73,1,73,,Ames 21860,,Teosinte
212,S9-T73-2,S9-T73-2_L001_R1_001.fastq.gz,S9-T73-2_L001_R2_001.fastq.gz,S9,T73,2,73,,Ames 21860,,Teosinte
213,S9-T73-3,S9-T73-3_L001_R1_001.fastq.gz,S9-T73-3_L001_R2_001.fastq.gz,S9,T73,3,73,,Ames 21860,,Teosinte
214,S9-T74-1,S9-T74-1_L001_R1_001.fastq.gz,S9-T74-1_L001_R2_001.fastq.gz,S9,T74,1,74,,PI 566673,,Teosinte
215,S9-T74-2,S9-T74-2_L001_R1_001.fastq.gz,S9-T74-2_L001_R2_001.fastq.gz,S9,T74,2,74,,PI 566673,,Teosinte
216,S9-T74-3,S9-T74-3_L001_R1_001.fastq.gz,S9-T74-3_L001_R2_001.fastq.gz,S9,T74,3,74,,PI 566673,,Teosinte
217,S9-T75-1,S9-T75-1_L001_R1_001.fastq.gz,S9-T75-1_L001_R2_001.fastq.gz,S9,T75,1,75,,PI5666677,,Teosinte
218,S9-T75-2,S9-T75-2_L001_R1_001.fastq.gz,S9-T75-2_L001_R2_001.fastq.gz,S9,T75,2,75,,PI5666677,,Teosinte
219,S9-T75-3,S9-T75-3_L001_R1_001.fastq.gz,S9-T75-3_L001_R2_001.fastq.gz,S9,T75,3,75,,PI5666677,,Teosinte
220,S9-T76-1,S9-T76-1_L001_R1_001.fastq.gz,S9-T76-1_L001_R2_001.fastq.gz,S9,T76,1,76,,Teo 8759,,Teosinte
221,S9-T76-2,S9-T76-2_L001_R1_001.fastq.gz,S9-T76-2_L001_R2_001.fastq.gz,S9,T76,2,76,,Teo 8759,,Teosinte
222,S9-T76-3,S9-T76-3_L001_R1_001.fastq.gz,S9-T76-3_L001_R2_001.fastq.gz,S9,T76,3,76,,Teo 8759,,Teosinte
223,S1-FBB0-1,S1-FBB0-1_L001_R1_001.fastq.gz,S1-FBB0-1_L001_R2_001.fastq.gz,S1,FBB0,1,,,,,FBB0
224,S1-FBB0-2,S1-FBB0-2_L001_R1_001.fastq.gz,S1-FBB0-2_L001_R2_001.fastq.gz,S1,FBB0,2,,,,,FBB0
225,S1-FBB0-3,S1-FBB0-3_L001_R1_001.fastq.gz,S1-FBB0-3_L001_R2_001.fastq.gz,S1,FBB0,3,,,,,FBB0
226,S1-FBB16-1,S1-FBB16-1_L001_R1_001.fastq.gz,S1-FBB16-1_L001_R2_001.fastq.gz,S1,FBB16,1,,,,,FBB16
227,S1-FBB16-2,S1-FBB16-2_L001_R1_001.fastq.gz,S1-FBB16-2_L001_R2_001.fastq.gz,S1,FBB16,2,,,,,FBB16
228,S1-FBB16-3,S1-FBB16-3_L001_R1_001.fastq.gz,S1-FBB16-3_L001_R2_001.fastq.gz,S1,FBB16,3,,,,,FBB16
229,S1-L27-1,S1-L27-1_L001_R1_001.fastq.gz,S1-L27-1_L001_R2_001.fastq.gz,S1,L27,1,27,LR1,AMES 8235,Xu et al. 2020,Landrace
230,S1-L27-2,S1-L27-2_L001_R1_001.fastq.gz,S1-L27-2_L001_R2_001.fastq.gz,S1,L27,2,27,LR1,AMES 8235,Xu et al. 2020,Landrace
231,S1-L27-3,S1-L27-3_L001_R1_001.fastq.gz,S1-L27-3_L001_R2_001.fastq.gz,S1,L27,3,27,LR1,AMES 8235,Xu et al. 2020,Landrace
232,S1-L28-1,S1-L28-1_L001_R1_001.fastq.gz,S1-L28-1_L001_R2_001.fastq.gz,S1,L28,1,28,LR17,AMES 21969,NA,Landrace
233,S1-L28-2,S1-L28-2_L001_R1_001.fastq.gz,S1-L28-2_L001_R2_001.fastq.gz,S1,L28,2,28,LR17,AMES 21969,NA,Landrace
234,S1-L28-3,S1-L28-3_L001_R1_001.fastq.gz,S1-L28-3_L001_R2_001.fastq.gz,S1,L28,3,28,LR17,AMES 21969,NA,Landrace
235,S1-L29-1,S1-L29-1_L001_R1_001.fastq.gz,S1-L29-1_L001_R2_001.fastq.gz,S1,L29,1,29,LR25,NSL 202125,NA,Landrace
236,S1-L29-2,S1-L29-2_L001_R1_001.fastq.gz,S1-L29-2_L001_R2_001.fastq.gz,S1,L29,2,29,LR25,NSL 202125,NA,Landrace
237,S1-L29-3,S1-L29-3_L001_R1_001.fastq.gz,S1-L29-3_L001_R2_001.fastq.gz,S1,L29,3,29,LR25,NSL 202125,NA,Landrace
238,S1-L30-1,S1-L30-1_L001_R1_001.fastq.gz,S1-L30-1_L001_R2_001.fastq.gz,S1,L30,1,30,LR18,NSL 30874,NA,Landrace
239,S1-L30-2,S1-L30-2_L001_R1_001.fastq.gz,S1-L30-2_L001_R2_001.fastq.gz,S1,L30,2,30,LR18,NSL 30874,NA,Landrace
240,S1-L30-3,S1-L30-3_L001_R1_001.fastq.gz,S1-L30-3_L001_R2_001.fastq.gz,S1,L30,3,30,LR18,NSL 30874,NA,Landrace
241,S1-L31-1,S1-L31-1_L001_R1_001.fastq.gz,S1-L31-1_L001_R2_001.fastq.gz,S1,L31,1,31,LR24,PI 167991,NA,Landrace
242,S1-L31-2,S1-L31-2_L001_R1_001.fastq.gz,S1-L31-2_L001_R2_001.fastq.gz,S1,L31,2,31,LR24,PI 167991,NA,Landrace
243,S1-L31-3,S1-L31-3_L001_R1_001.fastq.gz,S1-L31-3_L001_R2_001.fastq.gz,S1,L31,3,31,LR24,PI 167991,NA,Landrace
244,S1-L32-1,S1-L32-1_L001_R1_001.fastq.gz,S1-L32-1_L001_R2_001.fastq.gz,S1,L32,1,32,LR23,PI 168001,NA,Landrace
245,S1-L32-2,S1-L32-2_L001_R1_001.fastq.gz,S1-L32-2_L001_R2_001.fastq.gz,S1,L32,2,32,LR23,PI 168001,NA,Landrace
246,S1-L32-3,S1-L32-3_L001_R1_001.fastq.gz,S1-L32-3_L001_R2_001.fastq.gz,S1,L32,3,32,LR23,PI 168001,NA,Landrace
247,S1-L33-1,S1-L33-1_L001_R1_001.fastq.gz,S1-L33-1_L001_R2_001.fastq.gz,S1,L33,1,33,LR21,PI 170882,NA,Landrace
248,S1-L33-2,S1-L33-2_L001_R1_001.fastq.gz,S1-L33-2_L001_R2_001.fastq.gz,S1,L33,2,33,LR21,PI 170882,NA,Landrace
249,S1-L33-3,S1-L33-3_L001_R1_001.fastq.gz,S1-L33-3_L001_R2_001.fastq.gz,S1,L33,3,33,LR21,PI 170882,NA,Landrace
250,S1-L34-1,S1-L34-1_L001_R1_001.fastq.gz,S1-L34-1_L001_R2_001.fastq.gz,S1,L34,1,34,LR22,PI 183639,NA,Landrace
251,S1-L34-2,S1-L34-2_L001_R1_001.fastq.gz,S1-L34-2_L001_R2_001.fastq.gz,S1,L34,2,34,LR22,PI 183639,NA,Landrace
252,S1-L34-3,S1-L34-3_L001_R1_001.fastq.gz,S1-L34-3_L001_R2_001.fastq.gz,S1,L34,3,34,LR22,PI 183639,NA,Landrace
253,S1-L35-1,S1-L35-1_L001_R1_001.fastq.gz,S1-L35-1_L001_R2_001.fastq.gz,S1,L35,1,35,LR2,PI 620767,Xu et al. 2020,Landrace
254,S1-L35-2,S1-L35-2_L001_R1_001.fastq.gz,S1-L35-2_L001_R2_001.fastq.gz,S1,L35,2,35,LR2,PI 620767,Xu et al. 2020,Landrace
255,S1-L35-3,S1-L35-3_L001_R1_001.fastq.gz,S1-L35-3_L001_R2_001.fastq.gz,S1,L35,3,35,LR2,PI 620767,Xu et al. 2020,Landrace
256,S1-L36-1,S1-L36-1_L001_R1_001.fastq.gz,S1-L36-1_L001_R2_001.fastq.gz,S1,L36,1,36,LR3,PI 620773,Xu et al. 2020,Landrace
257,S1-L36-2,S1-L36-2_L001_R1_001.fastq.gz,S1-L36-2_L001_R2_001.fastq.gz,S1,L36,2,36,LR3,PI 620773,Xu et al. 2020,Landrace
258,S1-L36-3,S1-L36-3_L001_R1_001.fastq.gz,S1-L36-3_L001_R2_001.fastq.gz,S1,L36,3,36,LR3,PI 620773,Xu et al. 2020,Landrace
259,S1-L37-1,S1-L37-1_L001_R1_001.fastq.gz,S1-L37-1_L001_R2_001.fastq.gz,S1,L37,1,37,LR4,PI 620774,Xu et al. 2020,Landrace
260,S1-L37-2,S1-L37-2_L001_R1_001.fastq.gz,S1-L37-2_L001_R2_001.fastq.gz,S1,L37,2,37,LR4,PI 620774,Xu et al. 2020,Landrace
261,S1-L37-3,S1-L37-3_L001_R1_001.fastq.gz,S1-L37-3_L001_R2_001.fastq.gz,S1,L37,3,37,LR4,PI 620774,Xu et al. 2020,Landrace
262,S1-L38-1,S1-L38-1_L001_R1_001.fastq.gz,S1-L38-1_L001_R2_001.fastq.gz,S1,L38,1,38,LR5,PI 620785,Xu et al. 2020,Landrace
263,S1-L38-2,S1-L38-2_L001_R1_001.fastq.gz,S1-L38-2_L001_R2_001.fastq.gz,S1,L38,2,38,LR5,PI 620785,Xu et al. 2020,Landrace
264,S1-L38-3,S1-L38-3_L001_R1_001.fastq.gz,S1-L38-3_L001_R2_001.fastq.gz,S1,L38,3,38,LR5,PI 620785,Xu et al. 2020,Landrace
265,S1-L39-1,S1-L39-1_L001_R1_001.fastq.gz,S1-L39-1_L001_R2_001.fastq.gz,S1,L39,1,39,LR6,PI 620797,Xu et al. 2020,Landrace
266,S1-L39-2,S1-L39-2_L001_R1_001.fastq.gz,S1-L39-2_L001_R2_001.fastq.gz,S1,L39,2,39,LR6,PI 620797,Xu et al. 2020,Landrace
267,S1-L39-3,S1-L39-3_L001_R1_001.fastq.gz,S1-L39-3_L001_R2_001.fastq.gz,S1,L39,3,39,LR6,PI 620797,Xu et al. 2020,Landrace
268,S1-L40-1,S1-L40-1_L001_R1_001.fastq.gz,S1-L40-1_L001_R2_001.fastq.gz,S1,L40,1,40,LR7,PI 620819,Xu et al. 2020,Landrace
269,S1-L40-2,S1-L40-2_L001_R1_001.fastq.gz,S1-L40-2_L001_R2_001.fastq.gz,S1,L40,2,40,LR7,PI 620819,Xu et al. 2020,Landrace
270,S1-L40-3,S1-L40-3_L001_R1_001.fastq.gz,S1-L40-3_L001_R2_001.fastq.gz,S1,L40,3,40,LR7,PI 620819,Xu et al. 2020,Landrace
271,S1-L41-1,S1-L41-1_L001_R1_001.fastq.gz,S1-L41-1_L001_R2_001.fastq.gz,S1,L41,1,41,LR8,PI 620821,Xu et al. 2020,Landrace
272,S1-L41-2,S1-L41-2_L001_R1_001.fastq.gz,S1-L41-2_L001_R2_001.fastq.gz,S1,L41,2,41,LR8,PI 620821,Xu et al. 2020,Landrace
273,S1-L41-3,S1-L41-3_L001_R1_001.fastq.gz,S1-L41-3_L001_R2_001.fastq.gz,S1,L41,3,41,LR8,PI 620821,Xu et al. 2020,Landrace
274,S1-L42-1,S1-L42-1_L001_R1_001.fastq.gz,S1-L42-1_L001_R2_001.fastq.gz,S1,L42,1,42,LR9,PI 620834,Xu et al. 2020,Landrace
275,S1-L42-2,S1-L42-2_L001_R1_001.fastq.gz,S1-L42-2_L001_R2_001.fastq.gz,S1,L42,2,42,LR9,PI 620834,Xu et al. 2020,Landrace
276,S1-L42-3,S1-L42-3_L001_R1_001.fastq.gz,S1-L42-3_L001_R2_001.fastq.gz,S1,L42,3,42,LR9,PI 620834,Xu et al. 2020,Landrace
277,S1-L43-1,S1-L43-1_L001_R1_001.fastq.gz,S1-L43-1_L001_R2_001.fastq.gz,S1,L43,1,43,LR10,PI 620842,Xu et al. 2020,Landrace
278,S1-L43-2,S1-L43-2_L001_R1_001.fastq.gz,S1-L43-2_L001_R2_001.fastq.gz,S1,L43,2,43,LR10,PI 620842,Xu et al. 2020,Landrace
279,S1-L43-3,S1-L43-3_L001_R1_001.fastq.gz,S1-L43-3_L001_R2_001.fastq.gz,S1,L43,3,43,LR10,PI 620842,Xu et al. 2020,Landrace
280,S1-L44-1,S1-L44-1_L001_R1_001.fastq.gz,S1-L44-1_L001_R2_001.fastq.gz,S1,L44,1,44,LR11,PI 620846,Xu et al. 2020,Landrace
281,S1-L44-2,S1-L44-2_L001_R1_001.fastq.gz,S1-L44-2_L001_R2_001.fastq.gz,S1,L44,2,44,LR11,PI 620846,Xu et al. 2020,Landrace
282,S1-L44-3,S1-L44-3_L001_R1_001.fastq.gz,S1-L44-3_L001_R2_001.fastq.gz,S1,L44,3,44,LR11,PI 620846,Xu et al. 2020,Landrace
283,S1-L45-1,S1-L45-1_L001_R1_001.fastq.gz,S1-L45-1_L001_R2_001.fastq.gz,S1,L45,1,45,LR12,PI 620856,Xu et al. 2020,Landrace
284,S1-L45-2,S1-L45-2_L001_R1_001.fastq.gz,S1-L45-2_L001_R2_001.fastq.gz,S1,L45,2,45,LR12,PI 620856,Xu et al. 2020,Landrace
285,S1-L45-3,S1-L45-3_L001_R1_001.fastq.gz,S1-L45-3_L001_R2_001.fastq.gz,S1,L45,3,45,LR12,PI 620856,Xu et al. 2020,Landrace
286,S1-L46-1,S1-L46-1_L001_R1_001.fastq.gz,S1-L46-1_L001_R2_001.fastq.gz,S1,L46,1,46,LR13,PI 620859,Xu et al. 2020,Landrace
287,S1-L46-2,S1-L46-2_L001_R1_001.fastq.gz,S1-L46-2_L001_R2_001.fastq.gz,S1,L46,2,46,LR13,PI 620859,Xu et al. 2020,Landrace
288,S1-L46-3,S1-L46-3_L001_R1_001.fastq.gz,S1-L46-3_L001_R2_001.fastq.gz,S1,L46,3,46,LR13,PI 620859,Xu et al. 2020,Landrace
289,S1-L47-1,S1-L47-1_L001_R1_001.fastq.gz,S1-L47-1_L001_R2_001.fastq.gz,S1,L47,1,47,LR14,PI 620860,Xu et al. 2020,Landrace
290,S1-L47-2,S1-L47-2_L001_R1_001.fastq.gz,S1-L47-2_L001_R2_001.fastq.gz,S1,L47,2,47,LR14,PI 620860,Xu et al. 2020,Landrace
291,S1-L47-3,S1-L47-3_L001_R1_001.fastq.gz,S1-L47-3_L001_R2_001.fastq.gz,S1,L47,3,47,LR14,PI 620860,Xu et al. 2020,Landrace
292,S1-L48-1,S1-L48-1_L001_R1_001.fastq.gz,S1-L48-1_L001_R2_001.fastq.gz,S1,L48,1,48,LR15,PI 628503,Xu et al. 2020,Landrace
293,S1-L48-2,S1-L48-2_L001_R1_001.fastq.gz,S1-L48-2_L001_R2_001.fastq.gz,S1,L48,2,48,LR15,PI 628503,Xu et al. 2020,Landrace
294,S1-L48-3,S1-L48-3_L001_R1_001.fastq.gz,S1-L48-3_L001_R2_001.fastq.gz,S1,L48,3,48,LR15,PI 628503,Xu et al. 2020,Landrace
295,S1-L49-1,S1-L49-1_L001_R1_001.fastq.gz,S1-L49-1_L001_R2_001.fastq.gz,S1,L49,1,49,LR16,PI 628514,Xu et al. 2020,Landrace
296,S1-L49-2,S1-L49-2_L001_R1_001.fastq.gz,S1-L49-2_L001_R2_001.fastq.gz,S1,L49,2,49,LR16,PI 628514,Xu et al. 2020,Landrace
297,S1-L49-3,S1-L49-3_L001_R1_001.fastq.gz,S1-L49-3_L001_R2_001.fastq.gz,S1,L49,3,49,LR16,PI 628514,Xu et al. 2020,Landrace
298,S1-L50-1,S1-L50-1_L001_R1_001.fastq.gz,S1-L50-1_L001_R2_001.fastq.gz,S1,L50,1,50,LR19,PI 686064,NA,Landrace
299,S1-L50-2,S1-L50-2_L001_R1_001.fastq.gz,S1-L50-2_L001_R2_001.fastq.gz,S1,L50,2,50,LR19,PI 686064,NA,Landrace
300,S1-L50-3,S1-L50-3_L001_R1_001.fastq.gz,S1-L50-3_L001_R2_001.fastq.gz,S1,L50,3,50,LR19,PI 686064,NA,Landrace
301,S1-M1-1,S1-M1-1_L001_R1_001.fastq.gz,S1-M1-1_L001_R2_001.fastq.gz,S1,M1,1,1,MZ17,A619,Hapmap3,Modern maize
302,S1-M1-2,S1-M1-2_L001_R1_001.fastq.gz,S1-M1-2_L001_R2_001.fastq.gz,S1,M1,2,1,MZ17,A619,Hapmap3,Modern maize
303,S1-M1-3,S1-M1-3_L001_R1_001.fastq.gz,S1-M1-3_L001_R2_001.fastq.gz,S1,M1,3,1,MZ17,A619,Hapmap3,Modern maize
304,S1-M10-1,S1-M10-1_L001_R1_001.fastq.gz,S1-M10-1_L001_R2_001.fastq.gz,S1,M10,1,10,MZ4,Il14H,NAM Parents,Modern maize
305,S1-M10-2,S1-M10-2_L001_R1_001.fastq.gz,S1-M10-2_L001_R2_001.fastq.gz,S1,M10,2,10,MZ4,Il14H,NAM Parents,Modern maize
306,S1-M10-3,S1-M10-3_L001_R1_001.fastq.gz,S1-M10-3_L001_R2_001.fastq.gz,S1,M10,3,10,MZ4,Il14H,NAM Parents,Modern maize
307,S1-M13-1,S1-M13-1_L001_R1_001.fastq.gz,S1-M13-1_L001_R2_001.fastq.gz,S1,M13,1,13,MZ6,M37W,NAM Parents,Modern maize
308,S1-M13-2,S1-M13-2_L001_R1_001.fastq.gz,S1-M13-2_L001_R2_001.fastq.gz,S1,M13,2,13,MZ6,M37W,NAM Parents,Modern maize
309,S1-M13-3,S1-M13-3_L001_R1_001.fastq.gz,S1-M13-3_L001_R2_001.fastq.gz,S1,M13,3,13,MZ6,M37W,NAM Parents,Modern maize
310,S1-M14-1,S1-M14-1_L001_R1_001.fastq.gz,S1-M14-1_L001_R2_001.fastq.gz,S1,M14,1,14,MZ7,M162W,NAM Parents,Modern maize
311,S1-M14-2,S1-M14-2_L001_R1_001.fastq.gz,S1-M14-2_L001_R2_001.fastq.gz,S1,M14,2,14,MZ7,M162W,NAM Parents,Modern maize
312,S1-M14-3,S1-M14-3_L001_R1_001.fastq.gz,S1-M14-3_L001_R2_001.fastq.gz,S1,M14,3,14,MZ7,M162W,NAM Parents,Modern maize
313,S1-M15-1,S1-M15-1_L001_R1_001.fastq.gz,S1-M15-1_L001_R2_001.fastq.gz,S1,M15,1,15,MZ9,Mo18W,NAM Parents,Modern maize
314,S1-M15-2,S1-M15-2_L001_R1_001.fastq.gz,S1-M15-2_L001_R2_001.fastq.gz,S1,M15,2,15,MZ9,Mo18W,NAM Parents,Modern maize
315,S1-M15-3,S1-M15-3_L001_R1_001.fastq.gz,S1-M15-3_L001_R2_001.fastq.gz,S1,M15,3,15,MZ9,Mo18W,NAM Parents,Modern maize
316,S1-M16-1,S1-M16-1_L001_R1_001.fastq.gz,S1-M16-1_L001_R2_001.fastq.gz,S1,M16,1,16,MZ11,Ms71,NAM Parents,Modern maize
317,S1-M16-2,S1-M16-2_L001_R1_001.fastq.gz,S1-M16-2_L001_R2_001.fastq.gz,S1,M16,2,16,MZ11,Ms71,NAM Parents,Modern maize
